DATE,CPALTT01USA661S
2005,0.823956368811801
2006,0.850536740683861
2007,0.8747997682304081
2008,0.908384208727644
2009,0.905154482589856
2010,0.9199994093250691
2011,0.9490423331097211
2012,0.968681219771859
2013,0.982870778608004
2014,0.998815134216814
2015,1
2016,1.01261583205705
2017,1.03418566319434
2018,1.05944650946275
2019,1.07864590584923
